gene	cortex	cerebellum
Aplp1	3.31107561913728	NA
Lpcat4	3.3114223509216	3.24303827193164
Tmx2	3.31866209343764	4.32649970082241
Map1b	3.31946496918779	3.09894106334837
Klc2	3.32509741436331	3.24277476302915
Bclaf1	3.32881432740901	5.87034276246388
Arcn1	3.33501519397515	3.54573490376648
Nucb1	3.34269377421194	3.05108535384881
Cacnb1	3.35161626703035	NA
Arl1	3.35409137150058	3.35606260445096
Tfrc	3.35703413871195	3.50461598195284
Chl1	3.3750316121537	5.59338480851932
Ctsb	3.39198511281812	3.33126069178313
Sgtb	3.41373716099638	4.36090810084563
Copa	3.42453694563894	3.55194715274646
Kcnip4	3.4299029284518	7.43379582628976
Tpr	3.44022987674759	5.21462348836674
Mgea5	3.4476677675406	4.44177636328569
Matr3	3.4574979554808	5.61331325516007
Ckap5	3.47658224269012	3.38896971678646
Top2b	3.48420785657059	3.99864891992253
Srsf5	3.50292998300879	5.15140690863627
Trappc9	3.50391109942953	1.54000509180211
Rasa3	3.51170841343581	4.47043206694652
Ncdn	3.51700729245876	3.80936609052719
Emd	3.54368001894612	5.48896634836539
Eif4g2	3.56901405797648	3.48698228409155
Ssb	3.56931374276917	6.89543212509191
Copg1	3.56974372162408	4.09199385899576
Kif3a	3.57215462815253	3.72500469523834
Aip	3.57392194180004	4.07674608064548
Ppm1g	3.57762075895418	3.9995886049477
Sf1	3.58412760240493	4.71805264607734
Celf2	3.58481234508535	NA
Isca1	3.58626399300868	3.41475798064658
Rps27a	3.59094202253331	3.77575722758785
Larp1	3.59380947040585	3.10230015594416
Elavl3	3.59827346328852	5.01981953570091
G3bp2	3.6156096278931	3.67215235399443
Kif3b	3.62159840319174	3.92934518073323
Cnksr2	3.64500208833	NA
Eif4a3	3.64706260144596	7.07772446343015
Edc4	3.65332412009632	4.6726029814187
Arhgef9	3.65527917480956	NA
Nptx1	3.66052208874241	3.61565130940679
Ubap2l	3.66137963294921	4.4889256751645
Upf1	3.66959293657649	3.14733418289184
Prpf19	3.67359142458401	6.76023198685757
Safb	3.68113945256739	5.5576669730462704
Dnajc3	3.69144276703238	NA
Ube2i	3.69871865000456	5.83161307460189
Rcc2	3.69908960590781	8.06182069218612
Borcs5	3.69929031935246	4.95124376895576
Gde1	3.70739705829995	NA
Irgq	3.71730208360537	NA
Eef1a2	3.72011028006036	4.27488204885851
Copz1	3.72530271974231	4.7120492477088
Eftud2	3.73312899589667	6.52559416176472
Abce1	3.7353399826869	3.75743831663631
Wasl	3.7431757919724	3.65767513820052
Flnb	3.75514162814165	4.19328348421243
Reep1	3.75657936677336	4.81264227575338
Cacybp	3.76798023986113	4.44912479145892
Eif4g3	3.76920818368853	3.60519725853857
Elp1	3.79744231742187	3.92859312873429
Smarcc2	3.79791838959647	5.15355732553056
Ciapin1	3.80111305289715	4.84040005775429
Dhx30	3.8034051495334	4.61057652027547
Fbxl16	3.82014983265051	NA
Nmt1	3.82018887465077	4.39232730436461
Rae1	3.84404941470702	6.07023329098167
Brox	3.85062159738951	3.17057113313494
Lsm14a	3.85202712923535	5.51416243558321
Pafah1b1	3.85433741899164	4.06148355389882
Cdk16	3.85963974308747	4.22435645273363
Plcg1	3.88123469880481	5.38398177725629
U2af2	3.90651303706524	7.04103658960866
Hpcal4	3.92858134210162	NA
Tmed4	3.9290364160518	5.12406799882915
Uba2	3.92972913609753	5.25637110945552
Khdrbs3	3.93192261208861	NA
Nudt11	3.9397601411874	4.04075279066297
Tjp1	3.95470304693808	4.0117306185024
Bub3	3.95629510287245	7.14237517552408
Pam16	3.96425163536971	4.1490095709194
Ddb1	3.9686211308092	3.87631085050749
Snrnp70	3.97420748469012	11.0730092028669
Dip2a	3.97450526534764	5.0914976401608
